Column,Datatype
TIMEDESC,object
YEAR,int64
MONTH,int64
QAURTER,int64
CHANNEL,object
CHANNEL_YR,object
CHANNEL_MO,object
CHANNEL_QR,object
CHANNELDESC,object
PRODHIERARCHY1,object
PRODHIERARCHY2,int64
PRODDESC,object
REGIONDESC,object
REGION_YEAR,object
VALUE,float64
VOLUME,float64
ND,float64
WD,float64
CHANNEL_YEAR,object
PROD_YEAR,object
Aided_Awareness,float64
Closeness_Top_3_Box,float64
Loyalty,float64
Top_Of_Mind_Brand_Awareness,float64
Total_unaided_brand_awareness,float64
Chim_Shop_Chai ,int64
Panic_pantry_loading,int64
Welfare,int64
Welfare_Additional_boost,int64
BigPack,float64
BuyGet,float64
Extravol,float64
Free_promo,float64
Free_with_others,float64
Freepremium,float64
Near Pack,float64
PMD,float64
RL,float64
Theme,float64
TPR,float64
TARGET_PRICE,float64
TARGET_BASEPRICE,float64
TARGET_DISCOUNT,float64
DARLIE_DISCOUNT,float64
Darlie_CDC_BasePriceRatio,float64
Week5_SI,float64
Week13_SI,float64
Trendline,float64
Consumer_Confidence_Index,float64
Tourist_Arrivals_In_Million,float64
Extravol_Darlie,float64
Free_promo_Darlie,float64
Free_with_others_Darlie,float64
TPR_Darlie,float64
