timedesc,year,month,qaurter,channel,channel_yr,channel_mo,channel_qr,channeldesc,prodhierarchy1,prodhierarchy2,proddesc,regiondesc,region_year,value,volume,nd,wd,channel_year,prod_year,aided_awareness,closeness_top_3_box,loyalty,top_of_mind_brand_awareness,total_unaided_brand_awareness,chim_shop_chai_,panic_pantry_loading,welfare,welfare_additional_boost,bigpack,buyget,extravol,free_promo,free_with_others,freepremium,near_pack,pmd,rl,theme,tpr,target_price,target_baseprice,target_discount,darlie_discount,darlie_cdc_basepriceratio,week5_si,week13_si,trendline,consumer_confidence_index,tourist_arrivals_in_million,extravol_darlie,free_promo_darlie,free_with_others_darlie,tpr_darlie
2017-01-01,2017,1,1,CONVENIENCE,CONVENIENCE_2017,CONVENIENCE_1,CONVENIENCE_1,CONVENIENCE,CONVENIENCE,1,CDC_1,NATIONAL,NATIONAL_2017,27399300.0,59621.8,58.66949840494584,64.19784206447977,CONVENIENCE_2017,CDC_2017,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,459.5985364707462,459.5985364707462,0.0,0.0,1.081953988724733,-0.3196224071436761,-0.187881168181294,-23.5,74.5,9.195,0.0,0.0001560021269022372,0.0,0.256410369087849
2017-01-01,2017,1,1,LOCALSUPERMARKETMTSR,LOCALSUPERMARKETMTSR_2017,LOCALSUPERMARKETMTSR_1,LOCALSUPERMARKETMTSR_1,LOCAL SUPERMARKET + MTSR,LOCAL SUPERMARKET + MTSR,1,CDC_1,NATIONAL,NATIONAL_2017,8610800.000000002,21612.9,79.13472509473512,77.67373189160178,LOCAL SUPERMARKET + MTSR_2017,CDC_2017,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4273234966154473,398.4826422059193,398.4826422059193,0.0,0.0,1.024008587515608,-0.3196224071436761,-0.187881168181294,-23.5,74.5,9.195,0.00154866131229264,0.09340575491586925,5.652048585009636e-06,0.1846467752236798
2017-01-01,2017,1,1,SUPERHYPERMARKETCHAIN,SUPERHYPERMARKETCHAIN_2017,SUPERHYPERMARKETCHAIN_1,SUPERHYPERMARKETCHAIN_1,SUPER/HYPERMARKET CHAIN,SUPER/HYPERMARKET CHAIN,1,CDC_1,NATIONAL,NATIONAL_2017,18219300.0,45423.1,47.74462553194301,78.76117438043639,SUPER/HYPERMARKET CHAIN_2017,CDC_2017,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6136371141555729,401.1058702287052,401.1058702287052,0.0,0.0,1.026542957988654,-0.3196224071436761,-0.187881168181294,-23.5,74.5,9.195,0.0,0.008393642629197803,0.0,0.08533994056626705
2017-01-01,2017,1,1,OPENTRADEBLUE,OPENTRADEBLUE_2017,OPENTRADEBLUE_1,OPENTRADEBLUE_1,OPEN TRADE BLUE,OPEN TRADE BLUE,1,CDC_1,NATIONAL,NATIONAL_2017,8727766.0,19622.845,20.88981837241236,28.01327661712661,OPEN TRADE BLUE_2017,CDC_2017,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.00967785252342359,0.09980810631689746,0.003610893323572601,0.0,0.0,0.0,0.0,0.0,0.0,446.6713135917336,446.6713135917336,0.0,0.0,1.057011510196465,-0.3196224071436761,-0.187881168181294,-23.5,74.5,9.195,0.001112636061023809,0.02061433405369386,0.002747966535330781,0.2377678808868077
2017-01-01,2017,1,1,OPENTRADENONBLUE,OPENTRADENONBLUE_2017,OPENTRADENONBLUE_1,OPENTRADENONBLUE_1,OPEN TRADE NON-BLUE,OPEN TRADE NON-BLUE,1,CDC_1,NATIONAL,NATIONAL_2017,42612033.99999999,95805.65500000001,20.88981837241236,28.01327661712661,OPEN TRADE NON-BLUE_2017,CDC_2017,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.00967785252342359,0.09980810631689746,0.003610893323572601,0.0,0.0,0.0,0.0,0.0,0.0,446.6713135917336,446.6713135917336,0.0,0.0,1.057011510196465,-0.3196224071436761,-0.187881168181294,-23.5,74.5,9.195,0.001112636061023809,0.02061433405369386,0.002747966535330781,0.2377678808868077
2017-02-01,2017,2,1,CONVENIENCE,CONVENIENCE_2017,CONVENIENCE_2,CONVENIENCE_1,CONVENIENCE,CONVENIENCE,1,CDC_1,NATIONAL,NATIONAL_2017,24910100.0,53170.40000000001,58.84197974813054,64.26545972947353,CONVENIENCE_2017,CDC_2017,0.99,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,468.5560577283258,468.5560577283258,0.0,0.0,1.061269962355055,-0.01292684340234151,-0.1343937325404753,-22.5,75.8,9.195,0.0,7.120789259093362e-05,0.0,0.2310787995727526
2017-02-01,2017,2,1,LOCALSUPERMARKETMTSR,LOCALSUPERMARKETMTSR_2017,LOCALSUPERMARKETMTSR_2,LOCALSUPERMARKETMTSR_1,LOCAL SUPERMARKET + MTSR,LOCAL SUPERMARKET + MTSR,1,CDC_1,NATIONAL,NATIONAL_2017,7555599.999999999,18864.9,78.20296423516692,77.7797443930262,LOCAL SUPERMARKET + MTSR_2017,CDC_2017,0.99,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,400.5586918538267,400.5586918538267,0.0,0.0,1.018701268736113,-0.01292684340234151,-0.1343937325404753,-22.5,75.8,9.195,0.001673937303439181,0.08386172263366137,0.02111443644110785,0.1800814142233946
2017-02-01,2017,2,1,SUPERHYPERMARKETCHAIN,SUPERHYPERMARKETCHAIN_2017,SUPERHYPERMARKETCHAIN_2,SUPERHYPERMARKETCHAIN_1,SUPER/HYPERMARKET CHAIN,SUPER/HYPERMARKET CHAIN,1,CDC_1,NATIONAL,NATIONAL_2017,21048400.0,57326.3,51.65358482930174,82.01770217160362,SUPER/HYPERMARKET CHAIN_2017,CDC_2017,0.99,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5948037811615261,367.1721524552582,401.1058702287052,8.4600401769484,9.259574798328126,1.026542957988654,-0.01292684340234151,-0.1343937325404753,-22.5,75.8,9.195,0.0,0.006290813075765206,0.0,0.2200977705313943
2017-02-01,2017,2,1,OPENTRADEBLUE,OPENTRADEBLUE_2017,OPENTRADEBLUE_2,OPENTRADEBLUE_1,OPEN TRADE BLUE,OPEN TRADE BLUE,1,CDC_1,NATIONAL,NATIONAL_2017,8236475.999999999,18421.812,20.25278034538622,26.17895340588646,OPEN TRADE BLUE_2017,CDC_2017,0.99,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.3016960546552099,0.1113134799117481,0.005090704432332715,0.0,0.0,0.0,0.0,0.0,0.0,449.4064315448499,449.4064315448499,0.0,0.0,1.067775053918014,-0.01292684340234151,-0.1343937325404753,-22.5,75.8,9.195,0.0,0.004280658957337135,0.0,0.235401282643909
2017-02-01,2017,2,1,OPENTRADENONBLUE,OPENTRADENONBLUE_2017,OPENTRADENONBLUE_2,OPENTRADENONBLUE_1,OPEN TRADE NON-BLUE,OPEN TRADE NON-BLUE,1,CDC_1,NATIONAL,NATIONAL_2017,37521723.99999999,83921.588,20.25278034538622,26.17895340588646,OPEN TRADE NON-BLUE_2017,CDC_2017,0.99,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.3016960546552099,0.1113134799117481,0.005090704432332715,0.0,0.0,0.0,0.0,0.0,0.0,449.4064315448499,449.4064315448499,0.0,0.0,1.067775053918014,-0.01292684340234151,-0.1343937325404753,-22.5,75.8,9.195,0.0,0.004280658957337135,0.0,0.235401282643909
