Channel,Revenue_Generated,Revenue_Contribution_%
EQUITY+TV,2094855.8016724347,24.4793261732058
PANJAVED+TV,1787393.5990155884,20.88649293916627
SALT+TV,1321434.6866550755,15.441554824629266
TOTAL+TV,1138142.5483190324,13.299704280200263
EQUITY+OOH,537996.8254268029,6.286733320383108
PANJAVED+OOH,462024.42981433636,5.398961927778111
PANJAVED+DIGITAL,289099.63879153423,3.3782584695729554
EQUITY+DIGITAL,286095.04282398993,3.3431484230248847
SALT+OTHERADVERTISING_NEWSPAPER_RADIO,206778.31067225226,2.4162969634709204
TOTAL+DIGITAL,194412.9427565833,2.271802113649899
EQUITY+OTHERADVERTISING_NEWSPAPER_RADIO,164701.9113968209,1.9246154352077252
TOTAL+IN STORE,73916.13511604088,0.8637430698207305
SALT+DIGITAL,801.1726032642165,0.009362059890081086
