Channel,Actual_Spend,Revenue_Generated,ROAS
SALT+DIGITAL,370.15059999999994,801.1726032642165,2.1644503703741576
PANJAVED+OOH,2529054.0,462024.42981433636,0.18268666063055053
SALT+TV,7771225.0,1321434.6866550755,0.17004200581698195
EQUITY+OOH,3893554.0,537996.8254268029,0.13817628455308514
EQUITY+OTHERADVERTISING_NEWSPAPER_RADIO,1689600.0,164701.9113968209,0.09747982445361086
EQUITY+TV,25972008.330000002,2094855.8016724347,0.08065821383757558
SALT+OTHERADVERTISING_NEWSPAPER_RADIO,3300000.0,206778.31067225226,0.06266009414310675
PANJAVED+TV,30400675.0,1787393.5990155884,0.05879453660208493
PANJAVED+DIGITAL,7404839.398071001,289099.63879153423,0.039041986361898165
TOTAL+TV,29184900.0,1138142.5483190324,0.03899765112503495
TOTAL+DIGITAL,5046956.188747001,194412.9427565833,0.03852083027589147
TOTAL+IN STORE,4806580.0,73916.13511604088,0.015378113984587978
EQUITY+DIGITAL,25296682.705154642,286095.04282398993,0.0113095873541432
